"Mppcv";"nMppnm";"fMppnm";"aMppnm";"ATC";"DDD";"DDU";"DPP";"ATCNM_E";"ATCNM_N";"ATCNM_F";"OffMrkt";"GGRCM";"HYR_";"CreaDatm";"Dbl";"Route"
"0100255";"acatar sir. 200 ml";"acatar sir. 200 ml";"ACATAR SIR AFLEVERING GESCHORST";"N02BE51";"20.000";"ml";;"paracetamol, combinations excl. psycholeptics";"paracetamol, combinatiepreparaten excl. psycholeptica";"paracétamol, association sauf avec les psycholeptiques";;"false";;;;
"0100230";"acatar supp. ad. inf. 10 x 2 g";"acatar supp. ad. inf. 10 x 2 g";"ACATAR SUPP AD INF AFLEV. GESCHORST";"N02BE51";"4.000";"ed";;"paracetamol, combinations excl. psycholeptics";"paracetamol, combinatiepreparaten excl. psycholeptica";"paracétamol, association sauf avec les psycholeptiques";;"false";;;;
"0100248";"acatar supp. baby 10 x 1 g";"acatar supp. baby 10 x 1 g";"ACATAR SUPP BABY AFLEVER. GESCHORST";"N02BE51";"4.000";"ed";;"paracetamol, combinations excl. psycholeptics";"paracetamol, combinatiepreparaten excl. psycholeptica";"paracétamol, association sauf avec les psycholeptiques";;"false";;;;
"1320316";"ACCOLATE COMP 60X20MG UD";"ACCOLATE COMP 60X20MG UD";"ACCOLATE COMP 60X20MG UD";"R03DC01";"40.000";"mg";;"zafirlukast";"zafirlukast";"zafirlukast";;"false";;;;
"1703388";"accolate junior comp 56x10mg";"accolate junior comp 56x10mg";"ACCOLATE JUNIOR COMP 56X10MG";"R03DC01";"40.000";"mg";;"zafirlukast";"zafirlukast";"zafirlukast";;"false";;;;
"1265420";"accolate tab 56x 20mg";"accolate compr 56x 20mg";"ACCOLATE COMP 56X20MG";"R03DC01";"40.000";"mg";;"zafirlukast";"zafirlukast";"zafirlukast";;"true";"DAFB";;;
"1367895";"ACCUPRIL COMP  28 X  5 MG UD";"ACCUPRIL COMP  28 X  5 MG UD";"ACCUPRIL COMP 28 X 5 MG UD";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"false";;;;
"1367903";"ACCUPRIL COMP  28 X 20 MG UD";"ACCUPRIL COMP  28 X 20 MG UD";"ACCUPRIL COMP 28 X 20 MG UD";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"false";;;;
"0456996";"accupril tab 28x 20mg";"accupril compr 28x 20mg";"ACCUPRIL COMP 28 X 20 MG";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"true";"AGAH";;;
"0456988";"accupril tab 28x 5mg";"accupril compr 28x 5mg";"ACCUPRIL COMP 28 X 5 MG";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"true";"AGAH";;;
"1578129";"accupril tab 56x 40mg";"accupril compr 56x 40mg";"ACCUPRIL COMP 56 X 40 MG";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"true";"AGAH";;;
"2066959";"accupril tabl  56 x 40 mg pip";"accupril tabl  56 x 40 mg pip";"ACCUPRIL IMPEXECO TABL 56 X 40 MG PIP";"C09AA06";"15.000";"mg";;"quinapril";"quinapril";"quinapril";;"false";;;;
"1088673";"accuretic 10/12,5 28 tab";"accuretic 10/12,5 28 compr";"ACCURETIC COMP 28X10MG/12,5MG";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"true";"AADC";;;
"1088681";"accuretic 20/12,5 28 tab";"accuretic 20/12,5 28 compr";"ACCURETIC COMP 28X20MG/12,5MG";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"true";"AADC";;;
"1766526";"accuretic comp 28x20mg/12,5mg pi";"accuretic comp 28x20mg/12,5mg pi";"ACCURETIC EURO MEDIC COMP 28X20MG/12,5MG PIP";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"false";;;;
"2433308";"accuretic comp 28x20mg/12,5mg pip";"accuretic comp 28x20mg/12,5mg pip";"ACCURETIC PI PHARMA COMP 28X20MG/12,5MG PIP";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"false";;;;
"2154813";"accuretic comp 28x20mg/12,5mg pip";"accuretic comp 28x20mg/12,5mg pip";"ACCURETIC COMP 28X20MG/12,5MG PIP";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"false";;;;
"1107408";"accuretic comp 28x20mg/25mg";"accuretic comp 28x20mg/25mg";"ACCURETIC COMP 28X20MG/25MG";"C09BA06";"1.000";"ed";;"quinapril and diuretics";"quinapril met diuretica";"quinapril et diurétiques";;"false";;;;
"1434489";"acebutolol teva tab 100x 400mg";"acebutolol teva compr 100x 400mg";"ACEBUTOLOL TEVA COMP 100 X 400 MG";"C07AB04";"400.000";"mg";;"acebutolol";"acebutolol";"acébutolol";;"true";"AEA";;;
"2559201";"aceclofenac eg tab 20x 100mg";"aceclofenac eg compr 20x 100mg";"ACECLOFENAC EG 100 MG FILMOMH TABL 20 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"2559219";"aceclofenac eg tab 60x 100mg";"aceclofenac eg compr 60x 100mg";"ACECLOFENAC EG 100 MG FILMOMH TABL 60 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"2650265";"ACECLOFENAC MYLAN 100 MG FILMOMH TABL  20 X 100 MG";"ACECLOFENAC MYLAN 100 MG COMP PELL  20 X 100 MG";"ACECLOFENAC MYLAN 100 MG FILMOMH TABL 20 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"false";;;;
"2650281";"ACECLOFENAC MYLAN 100 MG FILMOMH TABL 100 X 100 MG";"ACECLOFENAC MYLAN 100 MG COMP PELL 100 X 100 MG";"ACECLOFENAC MYLAN 100 MG FILMOMH TABL 100 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"false";;;;
"2650273";"aceclofenac mylan tab 60x 100mg";"aceclofenac mylan compr 60x 100mg";"ACECLOFENAC MYLAN 100 MG FILMOMH TABL 60 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"false";;;;
"2593952";"aceclofenac sintesa tab 20x 100mg";"aceclofenac sintesa compr 20x 100mg";"ACECLOFENAC SINTESA 100MG COMP 20 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"2593960";"aceclofenac sintesa tab 60x 100mg";"aceclofenac sintesa compr 60x 100mg";"ACECLOFENAC SINTESA 100MG COMP 60 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"2742856";"aceclofenac teva tab 20x 100mg";"aceclofenac teva compr 20x 100mg";"ACECLOFENAC TEVA 100 MG FILMOMH COMP 20 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"2742864";"aceclofenac teva tab 60x 100mg";"aceclofenac teva compr 60x 100mg";"ACECLOFENAC TEVA 100 MG FILMOMH COMP 60 X 100 MG";"M01AB16";"200.000";"mg";;"aceclofenac";"aceclofenac";"acéclofénac";;"true";"IAAAA";;;
"0011114";"acedicon comp. 20 x 5 mg";"acedicon comp. 20 x 5 mg";"ACEDICONE COMP. 20 X 5 MG";"R05DA10";"15.000";"mg";;"thebacon";"thebacon";"thébacone";;"false";;;;
"0100263";"acenterine drag  100 x 500 mg";"acenterine drag  100 x 500 mg";"ACENTERINE COMP ENTER 100 X 500 MG";"N02BA01";"3000.000";"mg";;"acetylsalicylic acid";"acetylsalicylzuur";"acide acétylsalicylique";;"false";;;;
"0100271";"acetylcodone comp. 20 x 10 mg";"acetylcodone comp. 20 x 10 mg";"ACETYLCODONE COMP. 20 X 10 MG";"R05DA12";"30.000";"mg";;"acetyldihydrocodeine";"acetyldihydrocodeine";"acétyldihydrocodéine";;"false";;;;
"3137635";"acetylcystein sandoz gran zakjes 10x 600mg";"acetylcystein sandoz gran zakjes 10x 600mg";"ACETYLCYSTEIN SANDOZ 600MG GRANUL. DRANK ZAKJE 10";"R05CB01";"0.500";"g";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"3137742";"acetylcystein sandoz gran zakjes 30x 600mg";"acetylcystein sandoz gran zakjes 30x 600mg";;"R05CB01";"0.500";"g";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"3137759";"acetylcystein sandoz gran zakjes 60x 600mg";"acetylcystein sandoz gran zakjes 60x 600mg";"ACETYLCYSTEIN SANDOZ 600MG GRANUL. DRANK ZAKJE 60";"R05CB01";"0.500";"g";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"3130697";"acetylcystein sandoz oploss or 200ml 100mg/5ml";"acetylcystein sandoz sol or 200ml 100mg/5ml";"ACETYLCYSTEINE SANDOZ DRANK SUSP 200 ML 20MG/ML";"R05CB01";"0.500";"g";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2226991";"acetylcysteine apotex bruistab 14x 600mg";"acetylcysteine apotex compr efferv 14x 600mg";"ACETYLCYSTEINE APOTEX COMP EFF 14 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1432442";"acetylcysteine apotex bruistab 30x 600mg";"acetylcysteine apotex compr efferv 30x 600mg";"ACETYLCYSTEINE APOTEX COMP EFF 30 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2227015";"acetylcysteine apotex bruistab 60x 600mg";"acetylcysteine apotex compr efferv 60x 600mg";"ACETYLCYSTEINE APOTEX COMP EFF 60 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2227023";"acetylcysteine apotex gran zakjes 14x 600mg";"acetylcysteine apotex gran sach 14x 600mg";"ACETYLCYSTEINE APOTEX SACH 14 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2226983";"acetylcysteine apotex gran zakjes 30x 600mg";"acetylcysteine apotex gran sach 30x 600mg";"ACETYLCYSTEINE APOTEX SACH 30 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2227007";"acetylcysteine apotex gran zakjes 60x 600mg";"acetylcysteine apotex gran sach 60x 600mg";"ACETYLCYSTEINE APOTEX SACH 60 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1652387";"acetylcysteine bexal co eff30x600mg";"acetylcysteine bexal co eff30x600mg";"ACETYLCYSTEINE BEXAL CO EFF30X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1286285";"acetylcysteine eg bruistab 10x 600mg";"acetylcysteine eg compr efferv 10x 600mg";"ACETYLCYSTEINE EG COMP EFF 10X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1286293";"acetylcysteine eg bruistab 30x 600mg";"acetylcysteine eg compr efferv 30x 600mg";"ACETYLCYSTEINE EG COMP EFF 30X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1740067";"acetylcysteine eg bruistab 60x 600mg";"acetylcysteine eg compr efferv 60x 600mg";"ACETYLCYSTEINE EG COMP EFF 60X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"0600189";"acetylcysteine eg caps 30x 200mg";"acetylcysteine eg caps 30x 200mg";"ACETYLCYSTEINE EG CAPS 30 X 200 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1286269";"acetylcysteine eg gran zakjes 10x 600mg";"acetylcysteine eg gran sach 10x 600mg";"ACETYLCYSTEINE EG SACH 10X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1286251";"acetylcysteine eg gran zakjes 30x 200mg";"acetylcysteine eg gran sach 30x 200mg";"ACETYLCYSTEINE EG SACH 30X200MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1286277";"acetylcysteine eg gran zakjes 30x 600mg";"acetylcysteine eg gran sach 30x 600mg";"ACETYLCYSTEINE EG SACH 30X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1727072";"acetylcysteine eg gran zakjes 60x 600mg";"acetylcysteine eg gran sach 60x 600mg";"ACETYLCYSTEINE EG SACH 60X600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1524099";"acetylcysteine mylan gran zakjes 10x 600mg";"acetylcysteine mylan gran sach 10x 600mg";"ACETYLCYSTEINE MYLAN SACH 10 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1524107";"acetylcysteine mylan gran zakjes 30x 600mg";"acetylcysteine mylan gran sach 30x 600mg";"ACETYLCYSTEINE MYLAN SACH 30 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1694983";"acetylcysteine mylan gran zakjes 60x 600mg";"acetylcysteine mylan gran sach 60x 600mg";"ACETYLCYSTEINE MYLAN SACH 60 X 600 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1513621";"acetylcysteine ratiopharm 200sach30";"acetylcysteine ratiopharm 200sach30";"ACETYLCYSTEINE RATIOPHARM 200SACH30";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1513639";"acetylcysteine ratiopharm 600sach10";"acetylcysteine ratiopharm 600sach10";"ACETYLCYSTEINE RATIOPHARM 600SACH10";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1513647";"acetylcysteine ratiopharm 600sach30";"acetylcysteine ratiopharm 600sach30";"ACETYLCYSTEINE RATIOPHARM 600SACH30";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1646173";"acetylcysteine sandoz bruistab 10x 600mg";"acetylcysteine sandoz compr efferv 10x 600mg";"ACETYLCYSTEINE SANDOZ 600 MG CPR EFF. 10";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1646181";"acetylcysteine sandoz bruistab 30x 600mg";"acetylcysteine sandoz compr efferv 30x 600mg";"ACETYLCYSTEINE SANDOZ 600 MG CPR EFF. 30";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2124964";"acetylcysteine sandoz bruistab 60x 600mg";"acetylcysteine sandoz compr efferv 60x 600mg";"ACETYLCYSTEINE SANDOZ 600 MG CPR EFF. 60";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1646165";"acetylcysteine sandoz gran zakjes 30x 200mg";"acetylcysteine sandoz gran sach 30x 200mg";"ACETYLCYSTEINE SANDOZ 200 MG SACH. 30 X 200 MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"2275790";"acetylcysteine teva 600mg comp eff";"acetylcysteine teva 600mg comp eff";"ACETYLCYSTEINE TEVA 600MG COMP EFF 60 X 600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1779040";"acetylcysteine teva bruistab 10x 600mg";"acetylcysteine teva compr efferv 10x 600mg";"ACETYLCYSTEINE TEVA 600MG COMP EFF 10 X 600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1337393";"acetylcysteine teva poederzakjes 10x 600mg";"acetylcysteine teva poudre sach 10x 600mg";"ACETYLCYSTEINE TEVA 600MG PDR SACH 10 X 600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1328079";"acetylcysteine teva poederzakjes 30x 200mg";"acetylcysteine teva poudre sach 30x 200mg";"ACETYLCYSTEINE TEVA 200MG PDR SACH 30 X 200MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1328087";"acetylcysteine teva poederzakjes 30x 600mg";"acetylcysteine teva poudre sach 30x 600mg";"ACETYLCYSTEINE TEVA 600MG PDR SACH 30 X 600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"true";"DBBAA";;;
"1779057";"acetyphar 600mg comp eff 30 x 60";"acetyphar 600mg comp eff 30 x 60";"ACETYLCYSTEINE TEVA 600MG COMP EFF 30 X 600MG";"R05CB01";"500.000";"mg";;"acetylcysteine";"acetylcysteine";"acétylcystéine";;"false";;;;
"1462159";"aciclomed 5% creme tube 2 gr";"aciclomed 5% creme tube 2 gr";"ACICLOMED 5% RANBAXY CREME TUBE 2 GR";"D06BB03";"50.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"false";;;;
"1723063";"aciclophar comp  25 x 200 mg";"aciclophar comp  25 x 200 mg";"ACICLOPHAR COMP 25 X 200 MG";"J05AB01";"4000.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"false";;;;
"1723071";"aciclophar comp  35 x 800 mg";"aciclophar comp  35 x 800 mg";"ACICLOPHAR COMP 35 X 800 MG";"J05AB01";"4000.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"false";;;;
"1549617";"aciclovir apotex tab 35x 800mg";"aciclovir apotex compr 35x 800mg";"ACICLOVIR 800 APOTEX COMP SEC 35 X 800 MG";"J05AB01";"4000.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"true";"KDAA";;;
"1766591";"aciclovir eg 250 mg pulv sol iv inf";"aciclovir eg 250 mg pulv sol iv inf";"ACICLOVIR EG 250 MG PULV SOL IV INF FL 5";"J05AB01";"4000.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"false";;;;
"1766930";"aciclovir eg 500 mg pulv sol iv inf";"aciclovir eg 500 mg pulv sol iv inf";"ACICLOVIR EG 500 MG PULV SOL IV INF FL 5";"J05AB01";"4000.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"false";;;;
"1487347";"aciclovir eg creme 15g 50mg/ g";"aciclovir eg creme 15g 50mg/ g";"ACICLOVIR EG CREME 15 GR";"D06BB03";"50.000";"mg";;"aciclovir";"aciclovir";"aciclovir";;"true";"OADA";;;
